priority_rank,content_id,client_id,rf_score,impressions_90d,days_since_last_update,avg_position,reason_code,recommended_action
50,content_be9d7d5586f9,client_3fdba35f04,0.7627766590883581,681,104,24.7,low_volume_deep_serp,monitor_or_prune
51,content_26150c6d3662,client_3fdba35f04,0.7627704776880989,577,104,7.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
52,content_ec0a0180cc0a,client_3fdba35f04,0.7627490431408365,214,104,14.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
53,content_412512ea6fc3,client_3fdba35f04,0.7626904587536244,766,104,9.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
54,content_e124b9e2b959,client_3fdba35f04,0.7624813433705259,1984,104,20.1,low_volume_deep_serp,monitor_or_prune
55,content_d9eb4a8986e7,client_3fdba35f04,0.7624813433705259,3382,104,24.5,low_volume_deep_serp,monitor_or_prune
56,content_d77e888445e9,client_3fdba35f04,0.7623527078037563,1225,104,23.6,low_volume_deep_serp,monitor_or_prune
57,content_55e037db63d7,client_3fdba35f04,0.76235249256795,770,104,13.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
58,content_d3b6b4aae679,client_3fdba35f04,0.7623428353312977,697,104,28.1,low_volume_deep_serp,monitor_or_prune
59,content_7d67b997b662,client_3fdba35f04,0.7623401142868564,162,104,5.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
60,content_5f0f461171e1,client_3fdba35f04,0.7622997184829851,166,104,9.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
61,content_6af4dbfe0470,client_3fdba35f04,0.7622997184829851,496,104,10.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
62,content_714cd092a56f,client_7f2253d7e2,0.762268598410313,22127,20,17.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
63,content_e236db43d278,client_3fdba35f04,0.7622601141070453,972,104,13.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
64,content_e53f7e3c81d0,client_3fdba35f04,0.762036897817008,247,104,5.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
65,content_91fefd1726b3,client_3fdba35f04,0.7619985677470922,2748,104,18.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
66,content_861205133cbc,client_3fdba35f04,0.7619706257291626,332,104,4.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
67,content_03e34dd3ecd2,client_3fdba35f04,0.761681730391583,3074,104,32.9,low_volume_deep_serp,monitor_or_prune
68,content_b61233d4bc91,client_7f2253d7e2,0.761628887989952,14863,20,18.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
69,content_4bcb30ab7531,client_7f2253d7e2,0.7614384101443694,25485,20,13.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
70,content_184165640010,client_3fdba35f04,0.7613233867502415,3967,104,29.9,low_volume_deep_serp,monitor_or_prune
71,content_01660eb4b9d6,client_3fdba35f04,0.7612358208726687,1141,60,30.7,low_volume_deep_serp,monitor_or_prune
72,content_e24e38119221,client_3fdba35f04,0.7611953621789462,344,104,14.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
73,content_4de400868b63,client_3fdba35f04,0.7611880159322859,529,104,30.1,low_volume_deep_serp,monitor_or_prune
74,content_705f068125f0,client_3fdba35f04,0.7611401794212851,206,104,23.4,low_volume_deep_serp,monitor_or_prune
75,content_b01e11168073,client_3fdba35f04,0.7610887879231746,2772,104,37.7,low_volume_deep_serp,monitor_or_prune
76,content_cbbf16037e5e,client_3fdba35f04,0.7610620117223948,3184,104,39.4,low_volume_deep_serp,monitor_or_prune
77,content_f192f3938827,client_3fdba35f04,0.7610223618829624,880,104,30.6,low_volume_deep_serp,monitor_or_prune
78,content_3db2b454b5f7,client_3fdba35f04,0.7609700364769264,581,104,33.0,low_volume_deep_serp,monitor_or_prune
79,content_816431f05a3b,client_3fdba35f04,0.7609700364769264,1922,104,33.4,low_volume_deep_serp,monitor_or_prune
80,content_1e446b05f1c5,client_3fdba35f04,0.7609700364769264,685,104,34.0,low_volume_deep_serp,monitor_or_prune
81,content_bb704201c499,client_7f2253d7e2,0.7609085572518771,29783,20,22.0,low_volume_deep_serp,monitor_or_prune
82,content_06378264a47d,client_3fdba35f04,0.7607354516326299,596,104,5.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
83,content_e88c269d36d5,client_3fdba35f04,0.7607270703202009,2099,104,12.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
84,content_7250ecfc53de,client_3fdba35f04,0.7607078965247817,355,104,14.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
85,content_1b51115391a3,client_3fdba35f04,0.7606950558287585,3221,104,9.5,striking_distance_ctr_gap,title_meta_ctr_rewrite
86,content_1d533efd8c4d,client_7f2253d7e2,0.7605302013530094,18117,20,12.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
87,content_50859b364bea,client_3fdba35f04,0.7604906019688393,780,104,35.5,low_volume_deep_serp,monitor_or_prune
88,content_d88a80933ba2,client_7f2253d7e2,0.7603125808207836,12892,20,10.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
89,content_ea9cfb4c4172,client_3fdba35f04,0.7602365087392471,294,104,30.8,low_volume_deep_serp,monitor_or_prune
90,content_9367f8967d3b,client_3fdba35f04,0.7602193623372034,2239,104,13.2,striking_distance_ctr_gap,title_meta_ctr_rewrite
91,content_d4c50bd49b5d,client_3fdba35f04,0.7598864493241138,625,104,8.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
92,content_db35f1132b24,client_3fdba35f04,0.7597628946516892,1354,104,9.4,striking_distance_ctr_gap,title_meta_ctr_rewrite
93,content_c0da6295519b,client_3fdba35f04,0.75966224616625,748,104,19.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
94,content_3e5673c16aa7,client_7f2253d7e2,0.7596148067295587,26267,20,23.5,low_volume_deep_serp,monitor_or_prune
95,content_f2813e0b8901,client_3fdba35f04,0.7595935701828219,3375,104,30.2,low_volume_deep_serp,monitor_or_prune
96,content_a5acc618880c,client_3fdba35f04,0.7595791522127346,271,104,29.9,low_volume_deep_serp,monitor_or_prune
97,content_0361d8df96e6,client_3fdba35f04,0.7595312740441957,697,104,14.7,striking_distance_ctr_gap,title_meta_ctr_rewrite
98,content_b215e2d2edc6,client_3fdba35f04,0.7595105558858299,469,104,33.9,low_volume_deep_serp,monitor_or_prune
99,content_d6570c51c9bd,client_3fdba35f04,0.7593929430233343,2498,104,10.1,striking_distance_ctr_gap,title_meta_ctr_rewrite
100,content_ae53827c2894,client_3fdba35f04,0.7592518819162302,548,104,11.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
101,content_2d35636c9425,client_3fdba35f04,0.7591734958889337,889,104,13.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
102,content_939ac0b7c80e,client_7f2253d7e2,0.7591582911578649,31827,20,22.4,low_volume_deep_serp,monitor_or_prune
103,content_875fc7912e9b,client_7f2253d7e2,0.7591545925391749,21533,20,14.6,striking_distance_ctr_gap,title_meta_ctr_rewrite
104,content_bb6ebb5ec8c8,client_3fdba35f04,0.7591225082313661,2621,104,12.8,striking_distance_ctr_gap,title_meta_ctr_rewrite
105,content_dc9b1bdd6fd2,client_3fdba35f04,0.7590878226030869,981,104,18.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
106,content_6dd02d2e1d19,client_3fdba35f04,0.7590373789934337,278,104,2.3,striking_distance_ctr_gap,title_meta_ctr_rewrite
