rank,content_id,client_id,impressions_90d,days_since_last_update,avg_position,ctr,baseline_score,reason_code,action_label,is_declining_label
6658,content_b608ba87efab,client_19581e27de,10468,22,3.2,0.27,0.0,low_ctr_visible_page,title_meta_rewrite,0
6659,content_5fe46e04994d,client_4e07408562,517715,104,4.2,0.14,0.0,page_one_decay_risk,title_meta_rewrite,1
6660,content_418d76e6cf0a,client_e29c9c180c,12,20,82.9,0.0,0.0,general_monitoring,title_meta_rewrite,0
6661,content_5bf51d9d5570,client_19581e27de,1241,22,31.0,0.16,0.0,low_ctr_visible_page,title_meta_rewrite,0
6662,content_322ac9c5f39f,client_4e07408562,20014,25,16.0,0.25,0.0,low_ctr_visible_page,title_meta_rewrite,0
6663,content_706339408a73,client_19581e27de,2020,22,67.3,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,0
6664,content_be0172f50252,client_3fdba35f04,312,104,17.2,0.0,0.0,general_monitoring,title_meta_rewrite,1
6665,content_84f4be3f4203,client_e29c9c180c,1,104,7.0,0.0,0.0,page_one_decay_risk,title_meta_rewrite,0
6666,content_a89de439f164,client_19581e27de,17314,20,6.9,0.43,0.0,low_ctr_visible_page,title_meta_rewrite,0
6667,content_6d25ab4d537b,client_349c41201b,35531,20,5.0,0.24,0.0,low_ctr_visible_page,title_meta_rewrite,0
6668,content_92a2868c32eb,client_19581e27de,392,20,11.2,0.0,0.0,general_monitoring,title_meta_rewrite,1
6669,content_9be7bcb3152d,client_a88a7902cb,9,8,3.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6670,content_9367f8967d3b,client_3fdba35f04,2239,104,13.2,0.09,0.0,low_ctr_visible_page,title_meta_rewrite,1
6671,content_3e8478ecb744,client_6208ef0f77,9604,104,18.1,0.35,0.0,low_ctr_visible_page,title_meta_rewrite,0
6672,content_cdd8d4b3a87a,client_6208ef0f77,264,104,6.7,2.27,0.0,page_one_decay_risk,monitor_performance,0
6673,content_83390968e32e,client_4e07408562,522,104,5.7,0.38,0.0,page_one_decay_risk,title_meta_rewrite,1
6674,content_05c9a853f40e,client_19581e27de,36,22,25.8,0.0,0.0,general_monitoring,title_meta_rewrite,0
6675,content_a2da35902052,client_a88a7902cb,864,20,11.9,0.0,0.0,low_ctr_visible_page,title_meta_rewrite,1
6676,content_bd99587cb8a8,client_f369cb89fc,2021,20,5.3,1.24,0.0,general_monitoring,monitor_performance,1
6677,content_c0e7c21caccd,client_3fdba35f04,141,20,3.4,0.0,0.0,general_monitoring,title_meta_rewrite,1
6678,content_79c8dfac699a,client_bbb965ab0c,94,20,42.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6679,content_fd080bb5ff9d,client_25fc0e7096,3,8,0.0,0.0,0.0,general_monitoring,title_meta_rewrite,0
6680,content_a178dec7e550,client_434c9b5ae5,10,8,5.8,0.0,0.0,general_monitoring,title_meta_rewrite,0
6681,content_b7e601417a0f,client_19581e27de,21,20,19.7,0.0,0.0,general_monitoring,title_meta_rewrite,0
6682,content_0334348fc2d9,client_d59eced1de,678,104,54.6,0.29,0.0,low_ctr_visible_page,title_meta_rewrite,0
6683,content_64524bfb4813,client_bbb965ab0c,1288,15,19.7,0.08,0.0,low_ctr_visible_page,title_meta_rewrite,0
